Name,Ticker,Country,Amount
Convertible Bonds,,,4.96%
Bonds,,,4.04%
Tesla Inc,TSLA,United States,1.97%
Apple Inc,AAPL,United States,1.18%
Gold,,,1.00%
Microsoft Corp,MSFT,United States,0.98%
Tencent Holdings Ltd,00700,China,0.96%
Meituan,03690,China,0.82%
Amazon.com Inc,AMZN,United States,0.81%
Pinduoduo Inc ADR,PDD,China,0.80%
Alibaba Group Holding Ltd ADR,BABA,China,0.77%
Roku Inc Class A,ROKU,United States,0.77%
Square Inc A,SQ,United States,0.75%
iShares MSCI India ETF,INDA,United States,0.71%
Invitae Corp,NVTA,United States,0.68%
JD.com Inc ADR,JD,China,0.63%
CRISPR Therapeutics AG,CRSP,Switzerland,0.61%
Slack Technologies Inc Class A,WORK,United States,0.53%
Kweichow Moutai Co Ltd,600519,China,0.50%
Ping An Insurance (Group) Co. of China Ltd,601318,China,0.47%
Bilibili Inc ADR,BILI,China,0.45%
Taiwan Semiconductor Manufacturing Co Ltd,2330,Taiwan,0.45%
KE Holdings Inc ADR,BEKE,China,0.45%
Baidu Inc ADR,BIDU,China,0.45%
Facebook Inc A,FB,United States,0.44%
Teladoc Health Inc,TDOC,United States,0.44%
JD Health International Inc,06618,China,0.42%
NetEase Inc ADR,NTES,China,0.42%
TAL Education Group ADR,TAL,China,0.41%
Trip.com Group Ltd ADR,TCOM,China,0.38%
Zillow Group Inc C,Z,United States,0.37%
Alphabet Inc A,GOOGL,United States,0.36%
Samsung Electronics Co Ltd,005930,South Korea,0.34%
Spotify Technology SA,SPOT,United States,0.33%
Unknown,,,0.33%
Plug Power Inc,PLUG,United States,0.33%
United States dollar,-CASH-,,0.31%
Pure Storage Inc A,PSTG,United States,0.31%
Proto Labs Inc,PRLB,United States,0.31%
Enphase Energy Inc,ENPH,United States,0.30%
Vipshop Holdings Ltd ADR,VIPS,China,0.30%
Alphabet Inc Class C,GOOG,United States,0.30%
Twilio Inc A,TWLO,United States,0.30%
Zoom Video Communications Inc,ZM,United States,0.29%
Wuliangye Yibin Co Ltd,000858,China,0.28%
Alibaba Health Information Technology Ltd,00241,China,0.28%
Tencent Music Entertainment Group ADR,TME,China,0.27%
China Merchants Bank Co Ltd,600036,China,0.27%
LendingTree Inc,TREE,United States,0.27%
Other,,,55.91%
